image,noise,method,variant,threshold,n_scales,RMSE,SSIM,HaarPSI
deep_sky,uniform_010,mmt,square,hard,5,0.017596155676926854,0.8502144073091107,0.40672005138494716
deep_sky,uniform_010,mmt,diamond,hard,5,0.026689155209020272,0.6529053376888566,0.3660761478392881
deep_sky,uniform_010,mmt,circle,hard,5,0.026963619866294034,0.6548150156179812,0.3731536475141949
deep_sky,uniform_010,mmt_avg,square+diamond,soft,5,0.015798811097185148,0.9489060517068235,0.44583697800413585
deep_sky,uniform_010,mmt_avg,square+diamond,hard,5,0.016202414930111906,0.8765951114923202,0.4287485302900472
deep_sky,uniform_010,noisy,none,none,0,0.05771293297241071,0.25629446750716556,0.016354138381266176
deep_sky,uniform_010,starlet,binomial3,hard,5,0.015613977707618291,0.9493557215517229,0.4464968900013435
deep_sky,uniform_010,starlet,b3spline,hard,5,0.018673400941837844,0.944093651560044,0.4376858499097743
deep_sky,uniform_010,starlet,binomial3,soft,5,0.020341828061525086,0.9438932243667535,0.44875041153657724
deep_sky,uniform_010,starlet,b3spline,soft,5,0.024545185975832533,0.938509081971375,0.43983312588767165
moon,gaussian_003,mmt,diamond,soft,5,0.015556804649942305,0.9057736665284579,0.4244356397684245
moon,gaussian_003,mmt,circle,soft,5,0.016535894277364346,0.9010776882152596,0.42208876018335284
moon,gaussian_003,mmt,square,soft,5,0.01655533600131385,0.9149463395208699,0.48121001639189315
moon,gaussian_003,mmt,square,hard,5,0.017124632448653167,0.8324187661290798,0.45538114749506475
moon,gaussian_003,mmt,diamond,hard,5,0.02046543873947126,0.7525911728496723,0.3802923553982731
moon,gaussian_003,mmt,circle,hard,5,0.02078510008499043,0.750130097841809,0.3829052440035362
moon,gaussian_003,mmt_avg,square+diamond,soft,5,0.01630141280798414,0.9114086842415702,0.4835542439300587
moon,gaussian_003,mmt_avg,square+diamond,hard,5,0.018178329197726852,0.8089158563725439,0.4594311732731031
moon,gaussian_003,noisy,none,none,0,0.028307472292263984,0.5903654267292581,0.09053138059179017
moon,gaussian_003,starlet,binomial3,hard,5,0.01728052015700975,0.8494432166719839,0.4998809333640507
moon,gaussian_003,starlet,b3spline,hard,5,0.0201032500859475,0.8336080713558511,0.4915627950438472
moon,gaussian_003,starlet,binomial3,soft,5,0.0219300230385188,0.8446965048656551,0.49877766249416466
moon,gaussian_003,starlet,b3spline,soft,5,0.0250414638556851,0.8330842962684317,0.48869729588735267
moon,gaussian_005,mmt,diamond,soft,5,0.018573017394586343,0.8522604177184674,0.3804566210152274
moon,gaussian_005,mmt,square,soft,5,0.01870713023426152,0.8872484593873696,0.44642483620668916
moon,gaussian_005,mmt,circle,soft,5,0.019561305733525113,0.8479941208139994,0.3825654501772727
moon,gaussian_005,mmt,square,hard,5,0.026276249008064256,0.6799466777455276,0.42255427142286994
moon,gaussian_005,mmt,diamond,hard,5,0.03272547316467628,0.5499648160120537,0.34402667897337524
moon,gaussian_005,mmt,circle,hard,5,0.03298700589450051,0.5480990315890363,0.35006125104553365
moon,gaussian_005,mmt_avg,square+diamond,soft,5,0.018571582323976748,0.8789364340389059,0.44842141895806287
moon,gaussian_005,mmt_avg,square+diamond,hard,5,0.02809720211794296,0.6417076078986089,0.42741975411156363
moon,gaussian_005,noisy,none,none,0,0.04698332657240934,0.3505319924143474,0.0714848484818032
moon,gaussian_005,starlet,binomial3,hard,5,0.02216433124951049,0.7515946490634827,0.48158472980955824
moon,gaussian_005,starlet,binomial3,soft,5,0.024219104151050417,0.7913960519338106,0.4814681348428629
moon,gaussian_005,starlet,b3spline,hard,5,0.024974772236515203,0.7312468630829023,0.4734880472526279
moon,gaussian_005,starlet,b3spline,soft,5,0.027176887790273305,0.7816950031574839,0.4727887813321032
moon,uniform_005,mmt,square,hard,5,0.013465681822128154,0.9085157918786746,0.46850218478368877
moon,uniform_005,mmt,diamond,soft,5,0.015944719029218197,0.9112998249759813,0.43983113749906977
moon,uniform_005,mmt,circle,soft,5,0.01695764130428926,0.9068097133197938,0.4400388685119059
moon,uniform_005,mmt,square,soft,5,0.017317044356744922,0.9118891875760657,0.4884542504898015
moon,uniform_005,mmt,diamond,hard,5,0.0174415251680657,0.8173791591133078,0.39839655084081654
moon,uniform_005,mmt,circle,hard,5,0.01784871123523404,0.8151232383826715,0.40413979336751993
moon,uniform_005,mmt_avg,square+diamond,hard,5,0.013665303366419424,0.9050516835494423,0.4830754142101258
moon,uniform_005,mmt_avg,square+diamond,soft,5,0.01691012306531936,0.9119295715721635,0.49991495987181045
moon,uniform_005,noisy,none,none,0,0.027232698553660603,0.6028568902734254,0.09496474477619919
moon,uniform_005,starlet,binomial3,hard,5,0.015942994513198916,0.8741406410028122,0.5098099175510102
moon,uniform_005,starlet,b3spline,hard,5,0.018656548844717086,0.8632261822783617,0.5007323780275063
moon,uniform_005,starlet,binomial3,soft,5,0.02186257278439455,0.8425835893658721,0.5054933560844118
moon,uniform_005,starlet,b3spline,soft,5,0.02495781355071348,0.8313637506350798,0.49531382303714155
moon,uniform_010,mmt,diamond,soft,5,0.019364308554898128,0.8582666919156738,0.3776685619666041
moon,uniform_010,mmt,square,soft,5,0.02004971438885733,0.8831996937899199,0.44186545339475436
moon,uniform_010,mmt,circle,soft,5,0.020355333207808708,0.8556805503918742,0.3860760413153276
moon,uniform_010,mmt,square,hard,5,0.02104609324958714,0.7817385799779213,0.42178579035374897
moon,uniform_010,mmt,diamond,hard,5,0.0321651571733107,0.5706855218589492,0.34689220101492524
moon,uniform_010,mmt,circle,hard,5,0.032478787069328253,0.5710898541735195,0.359872932369136
moon,uniform_010,mmt_avg,square+diamond,soft,5,0.019536225443832083,0.8851903931334718,0.45462264978029776
moon,uniform_010,mmt_avg,square+diamond,hard,5,0.021497825081039947,0.7792919811605444,0.4379660976994533
moon,uniform_010,noisy,none,none,0,0.05418732373423448,0.28491876693020696,0.07025777509265557
moon,uniform_010,starlet,binomial3,hard,5,0.02079156808752101,0.7934855686111646,0.4861306827552893
moon,uniform_010,starlet,b3spline,hard,5,0.023075688331041736,0.7865663906840163,0.4774113579439218
moon,uniform_010,starlet,binomial3,soft,5,0.025481176801864732,0.7709366161180325,0.4844899249585587
moon,uniform_010,starlet,b3spline,soft,5,0.028310656816719237,0.7629060232306488,0.47552546416936
